meal_id,date,meal_type,menu_name,ingredients,planned_portions
M0001,2025-01-01,Café,Pao com espinafre,"[""peixe"", ""cogumelo"", ""camarao"", ""cebola"", ""lentilha"", ""alho"", ""carne moida""]",60
M0002,2025-01-01,Almoço,Lentilha com tofu,"[""carne moida"", ""salsinha"", ""maca"", ""sal""]",76
M0003,2025-01-01,Jantar,Peixe com iogurte,"[""pao"", ""iogurte"", ""tomate"", ""queijo""]",88
M0004,2025-01-02,Café,Salsinha com leite condensado,"[""mandioca"", ""camarao"", ""pimenta-do-reino"", ""arroz"", ""cogumelo"", ""batata doce""]",79
M0005,2025-01-02,Almoço,Cogumelo com cenoura,"[""aveia"", ""abobrinha"", ""cenoura"", ""chocolate"", ""batata doce""]",69
M0006,2025-01-02,Jantar,Espinafre com cebola,"[""creme de leite"", ""azeite"", ""maca"", ""ervas finas"", ""tofu""]",76
M0007,2025-01-03,Café,Sal com oregano,"[""frango"", ""batata"", ""tofu"", ""brocolis"", ""espinafre"", ""macarrao""]",60
M0008,2025-01-03,Almoço,Azeite com peixe,"[""queijo"", ""chocolate"", ""couve"", ""batata doce"", ""creme de leite"", ""brocolis""]",95
M0009,2025-01-03,Jantar,Arroz com peixe,"[""molho de tomate"", ""leite"", ""salsinha"", ""macarrao""]",83
M0010,2025-01-04,Café,Mamao com batata doce,"[""brocolis"", ""peixe"", ""macarrao"", ""cebola"", ""iogurte""]",110
M0011,2025-01-04,Almoço,Macarrao com iogurte,"[""ervas finas"", ""pao"", ""cogumelo"", ""cenoura"", ""manteiga""]",109
M0012,2025-01-04,Jantar,Batata Doce com beterraba,"[""pao"", ""queijo"", ""ovo"", ""beterraba"", ""feijao""]",71
M0013,2025-01-05,Café,Chocolate com azeite,"[""cogumelo"", ""chocolate"", ""pao"", ""espinafre"", ""queijo"", ""molho de tomate"", ""cenoura""]",84
M0014,2025-01-05,Almoço,Macarrao com oregano,"[""banana"", ""lentilha"", ""manteiga"", ""cebola"", ""laranja""]",74
M0015,2025-01-05,Jantar,Feijao com ervas finas,"[""milho"", ""azeite"", ""espinafre"", ""carne moida"", ""fermento""]",77
M0016,2025-01-06,Café,Manteiga com cogumelo,"[""ervas finas"", ""salsinha"", ""azeite"", ""feijao"", ""abobrinha"", ""aveia"", ""ovo""]",97
M0017,2025-01-06,Almoço,Aveia com macarrao,"[""abacaxi"", ""brocolis"", ""manteiga"", ""leite condensado""]",110
M0018,2025-01-06,Jantar,Alho com couve,"[""ervilha"", ""manga"", ""banana"", ""aveia""]",62
M0019,2025-01-07,Café,Creme De Leite com brocolis,"[""pimenta-do-reino"", ""salsinha"", ""ervas finas"", ""leite condensado""]",107
M0020,2025-01-07,Almoço,Chocolate com cogumelo,"[""iogurte"", ""brocolis"", ""carne moida"", ""cogumelo"", ""azeite""]",99
M0021,2025-01-07,Jantar,Alho com ervas finas,"[""leite condensado"", ""cebola"", ""sal"", ""cogumelo""]",86
M0022,2025-01-08,Café,Alho com beterraba,"[""batata doce"", ""peixe"", ""banana"", ""beterraba"", ""cogumelo"", ""ervilha""]",103
M0023,2025-01-08,Almoço,Chocolate com ovo,"[""milho"", ""batata doce"", ""arroz"", ""cebola"", ""tomate"", ""maca""]",87
M0024,2025-01-08,Jantar,Mamao com mandioca,"[""lentilha"", ""couve"", ""farinha"", ""ervas finas"", ""maca"", ""sal""]",90
M0025,2025-01-09,Café,Chocolate com queijo,"[""tomate"", ""sal"", ""cogumelo"", ""tofu""]",99
M0026,2025-01-09,Almoço,Azeite com batata,"[""ervas finas"", ""cebola"", ""laranja"", ""banana"", ""leite""]",61
M0027,2025-01-09,Jantar,Macarrao com aveia,"[""mandioca"", ""carne moida"", ""lentilha"", ""beterraba"", ""tofu"", ""manga"", ""banana""]",105
M0028,2025-01-10,Café,Molho De Tomate com ervilha,"[""milho"", ""pao"", ""leite"", ""camarao"", ""molho de tomate"", ""arroz"", ""cenoura""]",109
M0029,2025-01-10,Almoço,Brocolis com laranja,"[""molho de tomate"", ""pimenta-do-reino"", ""lentilha"", ""frango"", ""batata doce""]",75
M0030,2025-01-10,Jantar,Abobrinha com pimenta,"[""lentilha"", ""cogumelo"", ""pimenta-do-reino"", ""batata doce"", ""abacaxi""]",80
M0031,2025-01-11,Café,Farinha com couve,"[""batata doce"", ""couve"", ""queijo"", ""pimenta"", ""farinha"", ""aveia"", ""pao""]",100
M0032,2025-01-11,Almoço,Espinafre com salsinha,"[""tofu"", ""pao"", ""espinafre"", ""couve"", ""carne moida"", ""tomate"", ""farinha""]",77
M0033,2025-01-11,Jantar,Azeite com alho,"[""peixe"", ""leite"", ""laranja"", ""ervilha""]",104
M0034,2025-01-12,Café,Leite com leite condensado,"[""carne moida"", ""beterraba"", ""azeite"", ""salsinha"", ""lentilha""]",86
M0035,2025-01-12,Almoço,Frango com laranja,"[""ervilha"", ""mamao"", ""molho de tomate"", ""feijao"", ""manga"", ""fermento"", ""pimenta""]",60
M0036,2025-01-12,Jantar,Manteiga com cebola,"[""beterraba"", ""salsinha"", ""chocolate"", ""farinha"", ""abacaxi"", ""laranja"", ""oregano""]",74
M0037,2025-01-13,Café,Espinafre com couve,"[""feijao"", ""ervilha"", ""azeite"", ""cogumelo"", ""ervas finas"", ""milho"", ""queijo""]",89
M0038,2025-01-13,Almoço,Peixe com tofu,"[""milho"", ""mamao"", ""manga"", ""cogumelo""]",61
M0039,2025-01-13,Jantar,Batata com cogumelo,"[""peixe"", ""lentilha"", ""ovo"", ""frango"", ""aveia"", ""ervilha"", ""alho""]",73
M0040,2025-01-14,Café,Lentilha com alho,"[""farinha"", ""ervilha"", ""espinafre"", ""beterraba"", ""aveia"", ""batata""]",90
M0041,2025-01-14,Almoço,Feijao com farinha,"[""manteiga"", ""laranja"", ""camarao"", ""carne moida""]",109
M0042,2025-01-14,Jantar,Camarao com macarrao,"[""pao"", ""banana"", ""feijao"", ""mandioca""]",69
M0043,2025-01-15,Café,Pao com peixe,"[""cogumelo"", ""abobrinha"", ""manga"", ""maca"", ""lentilha"", ""molho de tomate"", ""aveia""]",109
M0044,2025-01-15,Almoço,Iogurte com queijo,"[""fermento"", ""queijo"", ""cebola"", ""cenoura""]",97
M0045,2025-01-15,Jantar,Feijao com alho,"[""milho"", ""creme de leite"", ""banana"", ""carne moida"", ""mamao"", ""molho de tomate"", ""tofu""]",75
M0046,2025-01-16,Café,Cenoura com creme de leite,"[""ervas finas"", ""abacaxi"", ""abobrinha"", ""manga"", ""macarrao"", ""manteiga""]",94
M0047,2025-01-16,Almoço,Brocolis com ervas finas,"[""carne moida"", ""sal"", ""camarao"", ""azeite"", ""arroz"", ""beterraba""]",91
M0048,2025-01-16,Jantar,Cenoura com couve,"[""tofu"", ""lentilha"", ""creme de leite"", ""leite"", ""brocolis"", ""ovo""]",106
M0049,2025-01-17,Café,Pimenta-Do-Reino com cogumelo,"[""mandioca"", ""salsinha"", ""pimenta"", ""lentilha"", ""brocolis"", ""mamao""]",77
M0050,2025-01-17,Almoço,Alho com pao,"[""espinafre"", ""couve"", ""pao"", ""farinha""]",89
M0051,2025-01-17,Jantar,Manga com tofu,"[""azeite"", ""feijao"", ""oregano"", ""alho"", ""ovo"", ""chocolate"", ""maca""]",82
M0052,2025-01-18,Café,Aveia com manteiga,"[""abacaxi"", ""molho de tomate"", ""espinafre"", ""batata doce"", ""arroz"", ""pimenta-do-reino""]",72
M0053,2025-01-18,Almoço,Batata com aveia,"[""oregano"", ""batata doce"", ""pao"", ""molho de tomate"", ""pimenta"", ""camarao"", ""fermento""]",88
M0054,2025-01-18,Jantar,Feijao com cenoura,"[""laranja"", ""milho"", ""molho de tomate"", ""pao"", ""cebola"", ""cogumelo""]",97
M0055,2025-01-19,Café,Iogurte com oregano,"[""brocolis"", ""chocolate"", ""batata doce"", ""azeite"", ""manteiga"", ""molho de tomate""]",89
M0056,2025-01-19,Almoço,Espinafre com alho,"[""laranja"", ""abobrinha"", ""leite condensado"", ""banana"", ""alho"", ""farinha""]",107
M0057,2025-01-19,Jantar,Salsinha com fermento,"[""banana"", ""maca"", ""chocolate"", ""pimenta"", ""espinafre""]",106
M0058,2025-01-20,Café,Mamao com fermento,"[""cenoura"", ""banana"", ""tomate"", ""laranja"", ""iogurte"", ""ovo""]",79
M0059,2025-01-20,Almoço,Arroz com leite condensado,"[""espinafre"", ""macarrao"", ""frango"", ""batata doce"", ""tomate""]",104
M0060,2025-01-20,Jantar,Peixe com camarao,"[""cenoura"", ""arroz"", ""manga"", ""tomate"", ""pimenta"", ""creme de leite"", ""couve""]",81
M0061,2025-01-21,Café,Ovo com frango,"[""pimenta"", ""abobrinha"", ""carne moida"", ""milho"", ""oregano"", ""chocolate""]",96
M0062,2025-01-21,Almoço,Tofu com molho de tomate,"[""leite"", ""manga"", ""cebola"", ""batata""]",75
M0063,2025-01-21,Jantar,Abobrinha com manga,"[""abacaxi"", ""fermento"", ""mandioca"", ""laranja"", ""pimenta-do-reino"", ""ervilha"", ""couve""]",88
M0064,2025-01-22,Café,Cebola com abacaxi,"[""cebola"", ""manga"", ""mandioca"", ""frango"", ""chocolate"", ""cenoura"", ""maca""]",100
M0065,2025-01-22,Almoço,Maca com espinafre,"[""queijo"", ""pao"", ""ovo"", ""batata doce""]",64
M0066,2025-01-22,Jantar,Queijo com arroz,"[""couve"", ""molho de tomate"", ""abacaxi"", ""pimenta"", ""tomate"", ""macarrao"", ""laranja""]",78
M0067,2025-01-23,Café,Creme De Leite com tomate,"[""carne moida"", ""ervas finas"", ""laranja"", ""aveia"", ""tofu"", ""mamao"", ""cogumelo""]",72
M0068,2025-01-23,Almoço,Brocolis com abobrinha,"[""camarao"", ""leite"", ""espinafre"", ""carne moida"", ""frango""]",70
M0069,2025-01-23,Jantar,Cebola com mandioca,"[""couve"", ""abobrinha"", ""lentilha"", ""molho de tomate"", ""cebola"", ""leite condensado""]",85
M0070,2025-01-24,Café,Espinafre com pimenta-do-reino,"[""couve"", ""batata"", ""abacaxi"", ""macarrao"", ""brocolis"", ""alho"", ""chocolate""]",76
M0071,2025-01-24,Almoço,Feijao com cenoura,"[""ervas finas"", ""manga"", ""mamao"", ""feijao"", ""farinha""]",103
M0072,2025-01-24,Jantar,Espinafre com mamao,"[""farinha"", ""ovo"", ""pimenta"", ""pimenta-do-reino""]",101
M0073,2025-01-25,Café,Couve com espinafre,"[""mamao"", ""brocolis"", ""tofu"", ""oregano"", ""batata""]",90
M0074,2025-01-25,Almoço,Manteiga com brocolis,"[""alho"", ""cogumelo"", ""cenoura"", ""queijo"", ""azeite"", ""beterraba""]",104
M0075,2025-01-25,Jantar,Oregano com tomate,"[""farinha"", ""batata doce"", ""macarrao"", ""lentilha"", ""batata"", ""alho"", ""aveia""]",80
M0076,2025-01-26,Café,Abobrinha com beterraba,"[""cogumelo"", ""salsinha"", ""lentilha"", ""beterraba""]",63
M0077,2025-01-26,Almoço,Banana com salsinha,"[""mandioca"", ""farinha"", ""oregano"", ""tofu"", ""couve"", ""frango""]",73
M0078,2025-01-26,Jantar,Espinafre com manga,"[""tomate"", ""couve"", ""molho de tomate"", ""oregano"", ""abobrinha""]",61
M0079,2025-01-27,Café,Tofu com abacaxi,"[""creme de leite"", ""queijo"", ""cebola"", ""batata doce"", ""arroz""]",95
M0080,2025-01-27,Almoço,Beterraba com batata,"[""abobrinha"", ""lentilha"", ""camarao"", ""leite"", ""oregano""]",105
M0081,2025-01-27,Jantar,Tomate com pimenta-do-reino,"[""beterraba"", ""pimenta"", ""farinha"", ""pao"", ""lentilha"", ""batata doce""]",69
M0082,2025-01-28,Café,Ervilha com banana,"[""carne moida"", ""espinafre"", ""fermento"", ""beterraba"", ""azeite""]",110
M0083,2025-01-28,Almoço,Sal com espinafre,"[""tomate"", ""leite condensado"", ""cebola"", ""mamao""]",97
M0084,2025-01-28,Jantar,Cogumelo com oregano,"[""couve"", ""salsinha"", ""pimenta"", ""manteiga"", ""azeite""]",95
M0085,2025-01-29,Café,Farinha com salsinha,"[""lentilha"", ""alho"", ""banana"", ""molho de tomate"", ""pao"", ""manga"", ""ervilha""]",74
M0086,2025-01-29,Almoço,Fermento com beterraba,"[""alho"", ""chocolate"", ""pimenta"", ""creme de leite""]",84
M0087,2025-01-29,Jantar,Ervilha com ervas finas,"[""oregano"", ""macarrao"", ""peixe"", ""sal"", ""mamao""]",81
M0088,2025-01-30,Café,Cenoura com lentilha,"[""pimenta-do-reino"", ""lentilha"", ""arroz"", ""leite condensado""]",69
M0089,2025-01-30,Almoço,Beterraba com cogumelo,"[""carne moida"", ""pimenta"", ""aveia"", ""azeite"", ""mandioca""]",104
M0090,2025-01-30,Jantar,Milho com cogumelo,"[""azeite"", ""ervas finas"", ""salsinha"", ""ervilha""]",80
M0091,2025-01-31,Café,Tofu com leite condensado,"[""salsinha"", ""macarrao"", ""mandioca"", ""carne moida"", ""pao"", ""tofu"", ""ervas finas""]",78
M0092,2025-01-31,Almoço,Laranja com farinha,"[""brocolis"", ""cenoura"", ""farinha"", ""tofu""]",105
M0093,2025-01-31,Jantar,Cenoura com lentilha,"[""molho de tomate"", ""cebola"", ""feijao"", ""macarrao"", ""alho""]",110
M0094,2025-02-01,Café,Frango com cebola,"[""iogurte"", ""brocolis"", ""leite"", ""pao"", ""pimenta-do-reino"", ""beterraba""]",96
M0095,2025-02-01,Almoço,Ervas Finas com ovo,"[""ovo"", ""batata"", ""mandioca"", ""ervilha"", ""ervas finas""]",75
M0096,2025-02-01,Jantar,Oregano com abacaxi,"[""laranja"", ""lentilha"", ""tofu"", ""aveia"", ""cogumelo""]",60
M0097,2025-02-02,Café,Lentilha com tomate,"[""carne moida"", ""couve"", ""manteiga"", ""mamao"", ""cebola""]",100
M0098,2025-02-02,Almoço,Brocolis com creme de leite,"[""lentilha"", ""cebola"", ""banana"", ""ervilha"", ""pimenta"", ""cenoura""]",75
M0099,2025-02-02,Jantar,Ervilha com mamao,"[""manga"", ""tomate"", ""molho de tomate"", ""farinha"", ""feijao"", ""cogumelo""]",85
M0100,2025-02-03,Café,Espinafre com arroz,"[""abacaxi"", ""chocolate"", ""oregano"", ""tomate""]",109
M0101,2025-02-03,Almoço,Laranja com mandioca,"[""laranja"", ""tofu"", ""banana"", ""mandioca"", ""aveia"", ""ervas finas""]",108
M0102,2025-02-03,Jantar,Leite Condensado com cogumelo,"[""tofu"", ""cenoura"", ""camarao"", ""macarrao"", ""cebola""]",110
M0103,2025-02-04,Café,Couve com macarrao,"[""leite condensado"", ""peixe"", ""batata"", ""tomate"", ""alho"", ""beterraba""]",71
M0104,2025-02-04,Almoço,Macarrão ao sugo e Carne moída,"[""pimenta-do-reino"", ""sal"", ""espinafre"", ""queijo"", ""aveia"", ""pimenta""]",78
M0105,2025-02-04,Jantar,Chocolate com azeite,"[""lentilha"", ""carne moida"", ""leite"", ""farinha""]",74
M0106,2025-02-05,Café,Ervas Finas com chocolate,"[""batata doce"", ""iogurte"", ""batata"", ""milho"", ""arroz"", ""aveia"", ""salsinha""]",67
M0107,2025-02-05,Almoço,Lentilha com iogurte,"[""mamao"", ""ervilha"", ""tofu"", ""iogurte"", ""cenoura"", ""ervas finas""]",74
M0108,2025-02-05,Jantar,Pimenta com feijao,"[""mandioca"", ""laranja"", ""camarao"", ""carne moida"", ""tofu"", ""lentilha""]",104
M0109,2025-02-06,Café,Cebola com cogumelo,"[""abobrinha"", ""peixe"", ""macarrao"", ""chocolate"", ""cebola"", ""oregano"", ""fermento""]",66
M0110,2025-02-06,Almoço,Pao com batata doce,"[""ervilha"", ""lentilha"", ""iogurte"", ""cogumelo"", ""chocolate""]",104
M0111,2025-02-06,Jantar,Salsinha com beterraba,"[""beterraba"", ""camarao"", ""cenoura"", ""oregano"", ""mandioca""]",86
M0112,2025-02-07,Café,Espinafre com macarrao,"[""maca"", ""couve"", ""farinha"", ""pao"", ""iogurte"", ""cenoura""]",103
M0113,2025-02-07,Almoço,Iogurte com batata doce,"[""frango"", ""milho"", ""espinafre"", ""banana"", ""abobrinha"", ""lentilha""]",65
M0114,2025-02-07,Jantar,Cogumelo com maca,"[""frango"", ""azeite"", ""pao"", ""peixe""]",110
M0115,2025-02-08,Café,Manga com maca,"[""farinha"", ""batata doce"", ""maca"", ""mamao""]",73
M0116,2025-02-08,Almoço,Laranja com manteiga,"[""abacaxi"", ""arroz"", ""espinafre"", ""leite"", ""peixe""]",94
M0117,2025-02-08,Jantar,Aveia com ovo,"[""cogumelo"", ""feijao"", ""peixe"", ""arroz""]",82
M0118,2025-02-09,Café,Pao com abacaxi,"[""feijao"", ""ovo"", ""aveia"", ""frango"", ""peixe"", ""beterraba""]",93
M0119,2025-02-09,Almoço,Abobrinha com farinha,"[""pimenta"", ""couve"", ""fermento"", ""iogurte""]",92
M0120,2025-02-09,Jantar,Mamao com cenoura,"[""sal"", ""laranja"", ""mandioca"", ""macarrao"", ""cogumelo"", ""pimenta-do-reino"", ""cebola""]",89
M0121,2025-02-10,Café,Camarao com feijao,"[""pimenta"", ""milho"", ""brocolis"", ""ervas finas""]",66
M0122,2025-02-10,Almoço,Oregano com leite condensado,"[""carne moida"", ""batata"", ""alho"", ""abacaxi"", ""leite"", ""fermento"", ""peixe""]",77
M0123,2025-02-10,Jantar,Mandioca com camarao,"[""ervilha"", ""abacaxi"", ""pimenta-do-reino"", ""tomate"", ""lentilha"", ""sal""]",98
M0124,2025-02-11,Café,Brocolis com cenoura,"[""camarao"", ""fermento"", ""batata doce"", ""leite condensado""]",73
M0125,2025-02-11,Almoço,Brocolis com lentilha,"[""beterraba"", ""azeite"", ""lentilha"", ""milho"", ""leite condensado""]",66
M0126,2025-02-11,Jantar,Alho com couve,"[""cogumelo"", ""aveia"", ""iogurte"", ""leite"", ""ervas finas"", ""pimenta""]",64
M0127,2025-02-12,Café,Batata com cenoura,"[""brocolis"", ""cenoura"", ""chocolate"", ""iogurte""]",68
M0128,2025-02-12,Almoço,Batata Doce com frango,"[""cogumelo"", ""abobrinha"", ""beterraba"", ""manteiga"", ""fermento"", ""brocolis""]",106
M0129,2025-02-12,Jantar,Frango com cebola,"[""manteiga"", ""cenoura"", ""manga"", ""sal"", ""maca"", ""leite""]",102
M0130,2025-02-13,Café,Pimenta com laranja,"[""manteiga"", ""batata doce"", ""iogurte"", ""abobrinha""]",108
M0131,2025-02-13,Almoço,Espinafre com mamao,"[""brocolis"", ""batata doce"", ""fermento"", ""mandioca"", ""ervas finas""]",101
M0132,2025-02-13,Jantar,Batata Doce com feijao,"[""feijao"", ""ovo"", ""espinafre"", ""molho de tomate"", ""cebola"", ""azeite""]",82
M0133,2025-02-14,Café,Arroz com banana,"[""manga"", ""cogumelo"", ""milho"", ""carne moida"", ""leite""]",107
M0134,2025-02-14,Almoço,Tofu com feijao,"[""chocolate"", ""pimenta-do-reino"", ""maca"", ""ervilha""]",86
M0135,2025-02-14,Jantar,Lentilha com azeite,"[""iogurte"", ""cebola"", ""leite condensado"", ""alho"", ""fermento""]",96
M0136,2025-02-15,Café,Abacaxi com batata,"[""leite"", ""queijo"", ""farinha"", ""mandioca""]",63
M0137,2025-02-15,Almoço,Ervas Finas com batata,"[""couve"", ""cogumelo"", ""brocolis"", ""oregano"", ""abacaxi"", ""fermento""]",86
M0138,2025-02-15,Jantar,Espinafre com maca,"[""manteiga"", ""brocolis"", ""abobrinha"", ""tomate""]",103
M0139,2025-02-16,Café,Ervas Finas com mamao,"[""pimenta-do-reino"", ""cogumelo"", ""cebola"", ""macarrao"", ""laranja"", ""milho"", ""abacaxi""]",63
M0140,2025-02-16,Almoço,Arroz com laranja,"[""maca"", ""peixe"", ""aveia"", ""tomate"", ""alho"", ""abobrinha""]",60
M0141,2025-02-16,Jantar,Oregano com farinha,"[""ovo"", ""peixe"", ""ervilha"", ""salsinha"", ""creme de leite"", ""laranja"", ""sal""]",95
M0142,2025-02-17,Café,Cogumelo com manteiga,"[""milho"", ""chocolate"", ""macarrao"", ""brocolis""]",61
M0143,2025-02-17,Almoço,Lentilha com carne moida,"[""manga"", ""brocolis"", ""fermento"", ""milho"", ""creme de leite"", ""tofu""]",86
M0144,2025-02-17,Jantar,Tomate com abobrinha,"[""feijao"", ""alho"", ""queijo"", ""mandioca"", ""lentilha"", ""molho de tomate"", ""iogurte""]",65
M0145,2025-02-18,Café,Brocolis com cenoura,"[""brocolis"", ""mamao"", ""milho"", ""pimenta-do-reino"", ""batata""]",85
M0146,2025-02-18,Almoço,Cebola com farinha,"[""laranja"", ""azeite"", ""queijo"", ""carne moida"", ""sal"", ""tofu""]",67
M0147,2025-02-18,Jantar,Pimenta-Do-Reino com sal,"[""fermento"", ""manteiga"", ""leite condensado"", ""camarao"", ""leite""]",75
M0148,2025-02-19,Café,Cenoura com queijo,"[""banana"", ""ovo"", ""abacaxi"", ""leite"", ""camarao"", ""carne moida""]",71
M0149,2025-02-19,Almoço,Fermento com tofu,"[""lentilha"", ""farinha"", ""manga"", ""mamao"", ""couve"", ""ervas finas"", ""chocolate""]",101
M0150,2025-02-19,Jantar,Tofu com mandioca,"[""tofu"", ""alho"", ""leite"", ""couve"", ""carne moida"", ""pimenta""]",88
M0151,2025-02-20,Café,Tofu com cebola,"[""mamao"", ""frango"", ""manteiga"", ""sal"", ""carne moida"", ""cebola""]",89
M0152,2025-02-20,Almoço,Couve com macarrao,"[""iogurte"", ""tomate"", ""carne moida"", ""camarao""]",65
M0153,2025-02-20,Jantar,Mandioca com abacaxi,"[""lentilha"", ""mamao"", ""batata doce"", ""macarrao"", ""couve"", ""manga"", ""camarao""]",72
M0154,2025-02-21,Café,Fricassé,"[""sal"", ""leite"", ""frango"", ""couve"", ""cenoura"", ""azeite"", ""batata""]",92
M0155,2025-02-21,Almoço,Camarao com ovo,"[""pao"", ""creme de leite"", ""couve"", ""pimenta-do-reino""]",93
M0156,2025-02-21,Jantar,Mandioca com queijo,"[""iogurte"", ""tomate"", ""ervilha"", ""beterraba"", ""azeite"", ""ervas finas""]",98
M0157,2025-02-22,Café,Frango com camarao,"[""carne moida"", ""azeite"", ""cenoura"", ""batata doce"", ""ervas finas"", ""ervilha""]",78
M0158,2025-02-22,Almoço,Aveia com chocolate,"[""azeite"", ""batata"", ""mamao"", ""cogumelo"", ""leite""]",82
M0159,2025-02-22,Jantar,Cebola com cogumelo,"[""peixe"", ""abacaxi"", ""creme de leite"", ""batata"", ""cebola"", ""batata doce"", ""ervilha""]",101
M0160,2025-02-23,Café,Azeite com peixe,"[""camarao"", ""cogumelo"", ""brocolis"", ""sal""]",83
M0161,2025-02-23,Almoço,Feijao com ervilha,"[""ovo"", ""maca"", ""azeite"", ""oregano"", ""banana"", ""laranja""]",68
M0162,2025-02-23,Jantar,Leite com carne moida,"[""cenoura"", ""sal"", ""salsinha"", ""pimenta-do-reino"", ""macarrao"", ""cogumelo""]",81
M0163,2025-02-24,Café,Lasanha,"[""abacaxi"", ""ervilha"", ""leite"", ""queijo"", ""ovo""]",104
M0164,2025-02-24,Almoço,Lasanha,"[""leite condensado"", ""couve"", ""macarrao"", ""beterraba"", ""iogurte""]",103
M0165,2025-02-24,Jantar,Leite Condensado com pao,"[""mandioca"", ""tomate"", ""chocolate"", ""couve"", ""laranja"", ""salsinha"", ""pao""]",79
M0166,2025-02-25,Café,Carne bovina,"[""ervas finas"", ""manga"", ""couve"", ""lentilha"", ""tomate"", ""ervilha""]",92
M0167,2025-02-25,Almoço,Panqueca,"[""banana"", ""abacaxi"", ""peixe"", ""aveia"", ""frango""]",101
M0168,2025-02-25,Jantar,Pimenta com iogurte,"[""creme de leite"", ""pimenta-do-reino"", ""abobrinha"", ""tomate""]",65
M0169,2025-02-26,Café,Farinha com queijo,"[""couve"", ""sal"", ""leite"", ""brocolis"", ""batata"", ""laranja""]",88
M0170,2025-02-26,Almoço,Manteiga com feijao,"[""frango"", ""milho"", ""sal"", ""iogurte"", ""pao"", ""ervilha"", ""batata""]",83
M0171,2025-02-26,Jantar,Laranja com feijao,"[""cenoura"", ""creme de leite"", ""camarao"", ""azeite"", ""leite"", ""peixe""]",62
M0172,2025-02-27,Café,Tomate com oregano,"[""farinha"", ""creme de leite"", ""pimenta"", ""couve"", ""mandioca""]",60
M0173,2025-02-27,Almoço,Batata com feijao,"[""maca"", ""leite"", ""batata doce"", ""leite condensado"", ""abacaxi"", ""pimenta-do-reino""]",87
M0174,2025-02-27,Jantar,Abobrinha com cebola,"[""cebola"", ""abobrinha"", ""frango"", ""pao"", ""beterraba""]",100
M0175,2025-02-28,Café,Mandioca com lentilha,"[""abobrinha"", ""oregano"", ""abacaxi"", ""salsinha""]",61
M0176,2025-02-28,Almoço,Tofu com sal,"[""creme de leite"", ""leite"", ""tomate"", ""brocolis"", ""arroz""]",99
M0177,2025-02-28,Jantar,Manteiga com pao,"[""ovo"", ""cogumelo"", ""farinha"", ""batata"", ""pimenta-do-reino"", ""iogurte"", ""carne moida""]",93
M0178,2025-03-01,Café,Salsinha com sal,"[""ervilha"", ""pimenta"", ""macarrao"", ""tofu""]",84
M0179,2025-03-01,Almoço,Iogurte com aveia,"[""manteiga"", ""carne moida"", ""pao"", ""leite condensado""]",102
M0180,2025-03-01,Jantar,Tofu com cenoura,"[""peixe"", ""macarrao"", ""manteiga"", ""salsinha"", ""azeite"", ""camarao""]",71
